"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied",
"0400000US06","California","12965435","19785","7085435","38161","5880000","21418",
"0500000US06001","Alameda County, California","572870","1547","305134","2469","267736","2179",
"0500000US06003","Alpine County, California","299","67","251","57","48","26",
"0500000US06005","Amador County, California","14090","432","10798","411","3292","369",
"0500000US06007","Butte County, California","86797","860","51358","1011","35439","1020",
"0500000US06009","Calaveras County, California","17417","434","13526","487","3891","416",
"0500000US06011","Colusa County, California","7113","174","4371","242","2742","259",
"0500000US06013","Contra Costa County, California","392277","1405","257528","2331","134749","2097",
"0500000US06015","Del Norte County, California","9799","314","6115","324","3684","414",
"0500000US06017","El Dorado County, California","69172","735","52990","672","16182","741",
"0500000US06019","Fresno County, California","304624","1206","160944","1741","143680","1727",
"0500000US06021","Glenn County, California","10017","225","5981","341","4036","356",
"0500000US06023","Humboldt County, California","54267","676","30853","642","23414","897",
"0500000US06025","Imperial County, California","44057","845","25717","822","18340","924",
"0500000US06027","Inyo County, California","8083","212","5110","242","2973","221",
"0500000US06029","Kern County, California","267913","1297","155395","1986","112518","2100",
"0500000US06031","Kings County, California","42735","539","22114","725","20621","763",
"0500000US06033","Lake County, California","25966","628","17157","529","8809","596",
"0500000US06035","Lassen County, California","9493","354","6445","286","3048","279",
"0500000US06037","Los Angeles County, California","3306109","5533","1514629","9373","1791480","6379",
"0500000US06039","Madera County, California","44759","607","28627","802","16132","812",
"0500000US06041","Marin County, California","105258","753","67200","879","38058","924",
"0500000US06043","Mariposa County, California","7700","351","5310","266","2390","335",
"0500000US06045","Mendocino County, California","34090","621","20173","626","13917","617",
"0500000US06047","Merced County, California","79606","596","41378","881","38228","911",
"0500000US06049","Modoc County, California","3660","173","2803","180","857","145",
"0500000US06051","Mono County, California","4847","426","3014","302","1833","327",
"0500000US06053","Monterey County, California","126052","906","64362","918","61690","1002",
"0500000US06055","Napa County, California","49032","491","31256","625","17776","645",
"0500000US06057","Nevada County, California","40904","677","30406","713","10498","624",
"0500000US06059","Orange County, California","1032373","2799","592269","4165","440104","3493",
"0500000US06061","Placer County, California","140661","914","100700","1187","39961","1056",
"0500000US06063","Plumas County, California","8047","337","5868","320","2179","261",
"0500000US06065","Riverside County, California","718349","2722","472401","3912","245948","2861",
"0500000US06067","Sacramento County, California","536029","1825","300082","2909","235947","2352",
"0500000US06069","San Benito County, California","17740","181","11264","340","6476","363",
"0500000US06071","San Bernardino County, California","630633","2099","373740","2888","256893","2797",
"0500000US06073","San Diego County, California","1118980","3147","593890","4386","525090","3504",
"0500000US06075","San Francisco County, California","359673","1844","135275","1887","224398","1874",
"0500000US06077","San Joaquin County, California","226727","913","126097","1759","100630","1634",
"0500000US06079","San Luis Obispo County, California","105317","1020","63986","1081","41331","1122",
"0500000US06081","San Mateo County, California","261969","1067","156864","1532","105105","1268",
"0500000US06083","Santa Barbara County, California","144962","885","75640","988","69322","1124",
"0500000US06085","Santa Clara County, California","635525","1810","360658","2737","274867","2527",
"0500000US06087","Santa Cruz County, California","95756","961","56873","979","38883","1111",
"0500000US06089","Shasta County, California","70473","580","44721","754","25752","798",
"0500000US06091","Sierra County, California","1241","141","1010","136","231","94",
"0500000US06093","Siskiyou County, California","19257","305","12633","379","6624","384",
"0500000US06095","Solano County, California","149067","608","90420","1131","58647","1070",
"0500000US06097","Sonoma County, California","189339","918","115093","1553","74246","1572",
"0500000US06099","Stanislaus County, California","172682","777","99079","1461","73603","1560",
"0500000US06101","Sutter County, California","32360","312","18560","563","13800","535",
"0500000US06103","Tehama County, California","24025","435","15575","529","8450","529",
"0500000US06105","Trinity County, California","5796","216","3868","244","1928","252",
"0500000US06107","Tulare County, California","136106","817","77314","1243","58792","1283",
"0500000US06109","Tuolumne County, California","22427","607","15656","546","6771","605",
"0500000US06111","Ventura County, California","271226","1122","171554","1692","99672","1663",
"0500000US06113","Yolo County, California","73510","592","38013","697","35497","888",
"0500000US06115","Yuba County, California","26179","329","15387","550","10792","529",
