"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied",
"0400000US06","California","12617280","20413","6908925","34460","5708355","17527",
"0500000US06001","Alameda County, California","551734","1946","291645","2577","260089","2102",
"0500000US06003","Alpine County, California","377","67","308","54","69","29",
"0500000US06005","Amador County, California","13939","333","10546","386","3393","309",
"0500000US06007","Butte County, California","85215","881","50593","831","34622","913",
"0500000US06009","Calaveras County, California","18608","488","14692","518","3916","429",
"0500000US06011","Colusa County, California","6912","183","4393","237","2519","248",
"0500000US06013","Contra Costa County, California","380183","1319","247153","2318","133030","2129",
"0500000US06015","Del Norte County, California","9527","369","5678","323","3849","362",
"0500000US06017","El Dorado County, California","67220","856","49833","987","17387","836",
"0500000US06019","Fresno County, California","292550","1334","155487","2162","137063","2050",
"0500000US06021","Glenn County, California","9561","234","5892","331","3669","298",
"0500000US06023","Humboldt County, California","53130","697","29121","732","24009","803",
"0500000US06025","Imperial County, California","46952","699","26135","775","20817","781",
"0500000US06027","Inyo County, California","7891","202","5007","231","2884","254",
"0500000US06029","Kern County, California","257737","1392","147334","1788","110403","1776",
"0500000US06031","Kings County, California","41108","617","21358","667","19750","744",
"0500000US06033","Lake County, California","26771","692","16795","651","9976","703",
"0500000US06035","Lassen County, California","9821","441","6248","355","3573","353",
"0500000US06037","Los Angeles County, California","3242391","5245","1503915","8684","1738476","5351",
"0500000US06039","Madera County, California","42723","729","25930","765","16793","892",
"0500000US06041","Marin County, California","103034","765","64490","1122","38544","1112",
"0500000US06043","Mariposa County, California","7289","369","5309","284","1980","320",
"0500000US06045","Mendocino County, California","33693","573","19135","617","14558","637",
"0500000US06047","Merced County, California","76516","766","40310","952","36206","852",
"0500000US06049","Modoc County, California","3893","207","2820","207","1073","222",
"0500000US06051","Mono County, California","5160","408","2853","304","2307","334",
"0500000US06053","Monterey County, California","125115","1151","62089","1061","63026","1173",
"0500000US06055","Napa County, California","49631","460","29997","655","19634","642",
"0500000US06057","Nevada County, California","40838","676","29617","744","11221","726",
"0500000US06059","Orange County, California","1002285","1889","583146","3530","419139","3286",
"0500000US06061","Placer County, California","134111","835","94577","1093","39534","981",
"0500000US06063","Plumas County, California","8529","357","6096","390","2433","302",
"0500000US06065","Riverside County, California","690388","2505","453356","3007","237032","2944",
"0500000US06067","Sacramento County, California","519460","2016","290450","2534","229010","2449",
"0500000US06069","San Benito County, California","17121","201","10610","377","6511","383",
"0500000US06071","San Bernardino County, California","607604","2111","370032","3063","237572","2806",
"0500000US06073","San Diego County, California","1083811","3426","578412","4470","505399","3690",
"0500000US06075","San Francisco County, California","348832","1610","127689","1922","221143","2358",
"0500000US06077","San Joaquin County, California","217343","1188","123584","1569","93759","1421",
"0500000US06079","San Luis Obispo County, California","102350","1060","59381","1050","42969","1074",
"0500000US06081","San Mateo County, California","258683","1087","153322","1472","105361","1603",
"0500000US06083","Santa Barbara County, California","142028","875","74300","1123","67728","1196",
"0500000US06085","Santa Clara County, California","614714","1474","350103","2603","264611","2334",
"0500000US06087","Santa Cruz County, California","94219","836","54749","847","39470","1165",
"0500000US06089","Shasta County, California","68961","676","43687","708","25274","841",
"0500000US06091","Sierra County, California","1291","163","978","140","313","124",
"0500000US06093","Siskiyou County, California","19380","354","12228","341","7152","374",
"0500000US06095","Solano County, California","142521","1395","85815","1247","56706","1189",
"0500000US06097","Sonoma County, California","186935","1208","111419","1451","75516","1535",
"0500000US06099","Stanislaus County, California","168090","903","96098","1477","71992","1603",
"0500000US06101","Sutter County, California","31723","387","18735","552","12988","604",
"0500000US06103","Tehama County, California","23480","447","16058","458","7422","493",
"0500000US06105","Trinity County, California","5521","215","3894","247","1627","226",
"0500000US06107","Tulare County, California","132706","771","75974","1344","56732","1255",
"0500000US06109","Tuolumne County, California","22181","573","15372","501","6809","582",
"0500000US06111","Ventura County, California","267829","963","172637","1453","95192","1499",
"0500000US06113","Yolo County, California","70953","626","37180","782","33773","808",
"0500000US06115","Yuba County, California","24712","425","14360","550","10352","550",
