"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0400000US06","California","13103114","18542","7241318","35711","5861796","20328",
"0500000US06001","Alameda County, California","573174","1395","307281","2762","265893","2807",
"0500000US06003","Alpine County, California","397","79","321","71","76","27",
"0500000US06005","Amador County, California","14844","451","11396","489","3448","457",
"0500000US06007","Butte County, California","83879","885","49887","1014","33992","1040",
"0500000US06009","Calaveras County, California","16958","557","13492","552","3466","528",
"0500000US06011","Colusa County, California","7329","163","4651","270","2678","273",
"0500000US06013","Contra Costa County, California","398299","1065","266238","2299","132061","2333",
"0500000US06015","Del Norte County, California","9805","313","6706","349","3099","411",
"0500000US06017","El Dorado County, California","73078","874","55193","952","17885","988",
"0500000US06019","Fresno County, California","310097","1237","166420","2102","143677","2301",
"0500000US06021","Glenn County, California","10216","234","5970","395","4246","414",
"0500000US06023","Humboldt County, California","54120","782","30761","864","23359","903",
"0500000US06025","Imperial County, California","45768","812","26589","946","19179","936",
"0500000US06027","Inyo County, California","7954","238","5170","269","2784","303",
"0500000US06029","Kern County, California","273556","1327","161113","2306","112443","2211",
"0500000US06031","Kings County, California","43604","423","23368","849","20236","897",
"0500000US06033","Lake County, California","25508","604","17276","631","8232","616",
"0500000US06035","Lassen County, California","9172","356","6291","299","2881","316",
"0500000US06037","Los Angeles County, California","3332504","5051","1534472","9202","1798032","6624",
"0500000US06039","Madera County, California","44479","505","29270","847","15209","848",
"0500000US06041","Marin County, California","104900","669","66719","1255","38181","1222",
"0500000US06043","Mariposa County, California","7846","409","5520","329","2326","376",
"0500000US06045","Mendocino County, California","34164","680","20611","754","13553","745",
"0500000US06047","Merced County, California","81306","615","42480","1084","38826","912",
"0500000US06049","Modoc County, California","3594","237","2752","233","842","149",
"0500000US06051","Mono County, California","5196","538","3535","371","1661","329",
"0500000US06053","Monterey County, California","128003","965","66346","1336","61657","1532",
"0500000US06055","Napa County, California","48484","532","31424","711","17060","677",
"0500000US06057","Nevada County, California","40917","714","30605","827","10312","716",
"0500000US06059","Orange County, California","1040001","2374","595228","4505","444773","4043",
"0500000US06061","Placer County, California","145714","730","106894","1237","38820","1011",
"0500000US06063","Plumas County, California","8332","278","6077","343","2255","289",
"0500000US06065","Riverside County, California","736413","2254","497259","3864","239154","3479",
"0500000US06067","Sacramento County, California","547519","1431","314234","2837","233285","2690",
"0500000US06069","San Benito County, California","18389","178","12013","451","6376","446",
"0500000US06071","San Bernardino County, California","640090","1894","384774","3889","255316","3516",
"0500000US06073","San Diego County, California","1130703","2942","609350","5331","521353","4743",
"0500000US06075","San Francisco County, California","362141","1924","137679","2191","224462","2522",
"0500000US06077","San Joaquin County, California","231092","1027","133381","1877","97711","1852",
"0500000US06079","San Luis Obispo County, California","106244","958","66635","1343","39609","1382",
"0500000US06081","San Mateo County, California","263351","1075","157703","1774","105648","1580",
"0500000US06083","Santa Barbara County, California","148309","891","77504","1415","70805","1397",
"0500000US06085","Santa Clara County, California","635314","1803","358228","3010","277086","2830",
"0500000US06087","Santa Cruz County, California","96275","747","58094","1073","38181","1112",
"0500000US06089","Shasta County, California","70845","699","46238","766","24607","892",
"0500000US06091","Sierra County, California","1250","155","917","104","333","126",
"0500000US06093","Siskiyou County, California","19195","407","12659","396","6536","384",
"0500000US06095","Solano County, California","151191","723","93839","1332","57352","1269",
"0500000US06097","Sonoma County, California","188958","873","115845","1823","73113","1772",
"0500000US06099","Stanislaus County, California","174826","884","102675","1543","72151","1764",
"0500000US06101","Sutter County, California","32586","259","19267","641","13319","666",
"0500000US06103","Tehama County, California","24661","418","16282","527","8379","609",
"0500000US06105","Trinity County, California","5896","227","4041","256","1855","277",
"0500000US06107","Tulare County, California","139044","793","79353","1341","59691","1483",
"0500000US06109","Tuolumne County, California","22937","637","16886","686","6051","576",
"0500000US06111","Ventura County, California","271639","1129","172037","2077","99602","1830",
"0500000US06113","Yolo County, California","74614","619","38280","984","36334","1153",
"0500000US06115","Yuba County, California","26434","401","16089","626","10345","626",
