"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied",
"0400000US06","California","12888128","18518","7024315","36191","5863813","20710",
"0500000US06001","Alameda County, California","569070","1516","301667","2673","267403","2310",
"0500000US06003","Alpine County, California","304","57","253","52","51","25",
"0500000US06005","Amador County, California","14185","362","10921","393","3264","311",
"0500000US06007","Butte County, California","86167","856","50844","872","35323","1000",
"0500000US06009","Calaveras County, California","17812","489","13931","538","3881","453",
"0500000US06011","Colusa County, California","7047","174","4521","251","2526","267",
"0500000US06013","Contra Costa County, California","389597","1368","255201","2183","134396","1837",
"0500000US06015","Del Norte County, California","9683","318","5996","324","3687","360",
"0500000US06017","El Dorado County, California","68084","749","51948","867","16136","832",
"0500000US06019","Fresno County, California","301824","1180","160001","1962","141823","1943",
"0500000US06021","Glenn County, California","9936","238","5724","372","4212","388",
"0500000US06023","Humboldt County, California","53966","755","30500","731","23466","779",
"0500000US06025","Imperial County, California","45198","731","25507","691","19691","815",
"0500000US06027","Inyo County, California","8026","218","5109","224","2917","258",
"0500000US06029","Kern County, California","264993","1465","151564","1698","113429","1820",
"0500000US06031","Kings County, California","42349","476","21925","705","20424","746",
"0500000US06033","Lake County, California","26327","607","17362","617","8965","631",
"0500000US06035","Lassen County, California","9441","341","6230","288","3211","296",
"0500000US06037","Los Angeles County, California","3295198","5018","1512364","10252","1782834","7178",
"0500000US06039","Madera County, California","44458","588","27701","827","16757","708",
"0500000US06041","Marin County, California","104846","794","67296","1030","37550","1126",
"0500000US06043","Mariposa County, California","7434","366","5259","257","2175","299",
"0500000US06045","Mendocino County, California","34182","589","20230","624","13952","668",
"0500000US06047","Merced County, California","79261","562","41206","952","38055","977",
"0500000US06049","Modoc County, California","3638","220","2655","178","983","174",
"0500000US06051","Mono County, California","4899","445","2750","342","2149","399",
"0500000US06053","Monterey County, California","125939","761","63873","1155","62066","1173",
"0500000US06055","Napa County, California","49044","524","30954","621","18090","573",
"0500000US06057","Nevada County, California","40386","668","29975","685","10411","652",
"0500000US06059","Orange County, California","1024976","2063","588551","3300","436425","3043",
"0500000US06061","Placer County, California","138564","758","98153","1014","40411","932",
"0500000US06063","Plumas County, California","8287","349","6016","358","2271","277",
"0500000US06065","Riverside County, California","711724","2199","462788","3357","248936","2399",
"0500000US06067","Sacramento County, California","532050","1445","295276","2654","236774","2355",
"0500000US06069","San Benito County, California","17440","175","11103","299","6337","338",
"0500000US06071","San Bernardino County, California","623642","2348","369329","3309","254313","2981",
"0500000US06073","San Diego County, California","1111739","2983","589144","4210","522595","3559",
"0500000US06075","San Francisco County, California","358772","1742","133812","1711","224960","2065",
"0500000US06077","San Joaquin County, California","223808","1054","124734","1597","99074","1553",
"0500000US06079","San Luis Obispo County, California","105044","886","63052","1069","41992","1107",
"0500000US06081","San Mateo County, California","261796","1009","156400","1691","105396","1666",
"0500000US06083","Santa Barbara County, California","144015","864","75308","1161","68707","1081",
"0500000US06085","Santa Clara County, California","630451","1707","358864","2589","271587","2269",
"0500000US06087","Santa Cruz County, California","95536","702","56992","1064","38544","1010",
"0500000US06089","Shasta County, California","70486","734","44095","832","26391","827",
"0500000US06091","Sierra County, California","1208","156","963","131","245","91",
"0500000US06093","Siskiyou County, California","19018","362","12457","346","6561","393",
"0500000US06095","Solano County, California","147352","738","88381","1172","58971","1045",
"0500000US06097","Sonoma County, California","190058","1004","114608","1245","75450","1425",
"0500000US06099","Stanislaus County, California","171324","939","97790","1627","73534","1523",
"0500000US06101","Sutter County, California","32188","390","18357","532","13831","549",
"0500000US06103","Tehama County, California","23712","493","15934","547","7778","519",
"0500000US06105","Trinity County, California","5462","241","3758","242","1704","218",
"0500000US06107","Tulare County, California","135144","801","75975","1194","59169","1299",
"0500000US06109","Tuolumne County, California","22267","535","15458","609","6809","556",
"0500000US06111","Ventura County, California","270046","1040","170678","1861","99368","1783",
"0500000US06113","Yolo County, California","72845","576","37809","764","35036","903",
"0500000US06115","Yuba County, California","25880","472","15063","567","10817","570",
