"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied",
"0400000US06","California","12807387","18852","6929007","37726","5878380","22644",
"0500000US06001","Alameda County, California","564293","1576","296634","2563","267659","2411",
"0500000US06003","Alpine County, California","343","69","280","61","63","27",
"0500000US06005","Amador County, California","14248","470","10778","479","3470","383",
"0500000US06007","Butte County, California","85505","991","50051","898","35454","941",
"0500000US06009","Calaveras County, California","17713","499","13643","515","4070","471",
"0500000US06011","Colusa County, California","6962","200","4489","242","2473","242",
"0500000US06013","Contra Costa County, California","387540","1199","250055","2041","137485","1867",
"0500000US06015","Del Norte County, California","9443","359","5748","390","3695","376",
"0500000US06017","El Dorado County, California","67528","668","50614","808","16914","644",
"0500000US06019","Fresno County, California","299456","1243","157227","1943","142229","1889",
"0500000US06021","Glenn County, California","9801","261","5635","294","4166","306",
"0500000US06023","Humboldt County, California","53689","634","29702","736","23987","793",
"0500000US06025","Imperial County, California","45800","778","25544","738","20256","779",
"0500000US06027","Inyo County, California","7973","167","5204","190","2769","222",
"0500000US06029","Kern County, California","262337","1275","149309","1827","113028","1838",
"0500000US06031","Kings County, California","41845","558","20980","776","20865","773",
"0500000US06033","Lake County, California","26194","615","16548","708","9646","689",
"0500000US06035","Lassen County, California","9501","310","6136","277","3365","302",
"0500000US06037","Los Angeles County, California","3281845","5067","1499576","10095","1782269","7413",
"0500000US06039","Madera County, California","43574","660","26458","631","17116","651",
"0500000US06041","Marin County, California","104400","772","66200","1035","38200","880",
"0500000US06043","Mariposa County, California","7255","313","5052","243","2203","264",
"0500000US06045","Mendocino County, California","34594","568","19764","584","14830","713",
"0500000US06047","Merced County, California","78270","664","40889","855","37381","971",
"0500000US06049","Modoc County, California","3670","176","2740","209","930","183",
"0500000US06051","Mono County, California","4950","411","2733","302","2217","338",
"0500000US06053","Monterey County, California","125916","701","62601","1096","63315","1071",
"0500000US06055","Napa County, California","49375","570","30411","648","18964","684",
"0500000US06057","Nevada County, California","40587","664","29282","687","11305","771",
"0500000US06059","Orange County, California","1017012","2328","581506","4293","435506","3549",
"0500000US06061","Placer County, California","136730","754","95824","1156","40906","1072",
"0500000US06063","Plumas County, California","8376","321","5967","335","2409","266",
"0500000US06065","Riverside County, California","705716","2381","454924","3465","250792","2839",
"0500000US06067","Sacramento County, California","527335","1526","291117","2399","236218","2333",
"0500000US06069","San Benito County, California","17390","159","10824","366","6566","391",
"0500000US06071","San Bernardino County, California","618922","2288","365576","3241","253346","2932",
"0500000US06073","San Diego County, California","1103128","2860","581635","4365","521493","3836",
"0500000US06075","San Francisco County, California","356797","1619","131331","1884","225466","2172",
"0500000US06077","San Joaquin County, California","221707","951","123450","1558","98257","1656",
"0500000US06079","San Luis Obispo County, California","104404","919","61624","949","42780","1112",
"0500000US06081","San Mateo County, California","261010","932","154344","1582","106666","1495",
"0500000US06083","Santa Barbara County, California","143051","855","74440","972","68611","1127",
"0500000US06085","Santa Clara County, California","626579","1547","354255","2623","272324","2460",
"0500000US06087","Santa Cruz County, California","95062","658","54853","813","40209","1003",
"0500000US06089","Shasta County, California","69713","574","43292","858","26421","825",
"0500000US06091","Sierra County, California","1275","144","1024","144","251","83",
"0500000US06093","Siskiyou County, California","19045","385","12123","394","6922","413",
"0500000US06095","Solano County, California","145315","947","86083","1236","59232","1278",
"0500000US06097","Sonoma County, California","189043","1028","112774","1384","76269","1267",
"0500000US06099","Stanislaus County, California","170328","901","96348","1483","73980","1317",
"0500000US06101","Sutter County, California","32028","361","18290","503","13738","525",
"0500000US06103","Tehama County, California","23573","477","15644","538","7929","564",
"0500000US06105","Trinity County, California","5468","225","3696","219","1772","237",
"0500000US06107","Tulare County, California","134153","756","75761","1300","58392","1269",
"0500000US06109","Tuolumne County, California","22083","509","14984","523","7099","539",
"0500000US06111","Ventura County, California","269338","1020","170877","1665","98461","1494",
"0500000US06113","Yolo County, California","72544","578","37194","702","35350","870",
"0500000US06115","Yuba County, California","25655","402","14964","530","10691","520",
