"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0400000US06","California","13217586","19810","7335247","36253","5882339","20620",
"0500000US06001","Alameda County, California","581683","1880","313410","2892","268273","2641",
"0500000US06003","Alpine County, California","434","91","355","82","79","43",
"0500000US06005","Amador County, California","15394","447","12075","520","3319","435",
"0500000US06007","Butte County, California","85292","767","49549","941","35743","857",
"0500000US06009","Calaveras County, California","16809","529","13698","593","3111","431",
"0500000US06011","Colusa County, California","7303","146","4497","301","2806","309",
"0500000US06013","Contra Costa County, California","405106","1075","271379","2260","133727","1996",
"0500000US06015","Del Norte County, California","9531","284","6505","370","3026","359",
"0500000US06017","El Dorado County, California","74535","913","56792","1158","17743","1054",
"0500000US06019","Fresno County, California","314421","970","170035","2094","144386","2094",
"0500000US06021","Glenn County, California","9753","267","5936","368","3817","329",
"0500000US06023","Humboldt County, California","53729","684","30931","925","22798","843",
"0500000US06025","Imperial County, California","45541","790","26392","1018","19149","1008",
"0500000US06027","Inyo County, California","7832","277","5043","299","2789","320",
"0500000US06029","Kern County, California","274705","1373","162816","2686","111889","2619",
"0500000US06031","Kings County, California","43286","495","23610","845","19676","841",
"0500000US06033","Lake County, California","26307","542","18174","626","8133","497",
"0500000US06035","Lassen County, California","8910","386","6236","371","2674","351",
"0500000US06037","Los Angeles County, California","3342811","5387","1545929","9447","1796882","6391",
"0500000US06039","Madera County, California","43578","647","28842","813","14736","847",
"0500000US06041","Marin County, California","103751","697","66143","1014","37608","1059",
"0500000US06043","Mariposa County, California","7588","335","5429","344","2159","324",
"0500000US06045","Mendocino County, California","34183","558","20603","673","13580","740",
"0500000US06047","Merced County, California","81618","674","42146","1189","39472","1221",
"0500000US06049","Modoc County, California","3413","244","2543","259","870","209",
"0500000US06051","Mono County, California","5361","405","3525","381","1836","385",
"0500000US06053","Monterey County, California","129977","846","67182","1301","62795","1353",
"0500000US06055","Napa County, California","48745","544","31942","667","16803","621",
"0500000US06057","Nevada County, California","40877","653","30805","697","10072","682",
"0500000US06059","Orange County, California","1057592","2642","602440","4355","455152","3951",
"0500000US06061","Placer County, California","149714","709","109856","1228","39858","1202",
"0500000US06063","Plumas County, California","8231","291","5951","283","2280","296",
"0500000US06065","Riverside County, California","740506","2031","504469","3456","236037","3113",
"0500000US06067","Sacramento County, California","559036","1538","323018","3187","236018","3219",
"0500000US06069","San Benito County, California","19144","201","12944","466","6200","452",
"0500000US06071","San Bernardino County, California","651743","2010","394249","3758","257494","3318",
"0500000US06073","San Diego County, California","1139899","3376","616193","5044","523706","4504",
"0500000US06075","San Francisco County, California","361222","2202","138048","2310","223174","2731",
"0500000US06077","San Joaquin County, California","234662","982","138735","1939","95927","1821",
"0500000US06079","San Luis Obispo County, California","106790","1211","66651","1194","40139","1433",
"0500000US06081","San Mateo County, California","264892","1199","158281","1971","106611","1787",
"0500000US06083","Santa Barbara County, California","147446","845","77563","1204","69883","1360",
"0500000US06085","Santa Clara County, California","646847","2058","363104","3291","283743","2605",
"0500000US06087","Santa Cruz County, California","96476","987","58321","1134","38155","1390",
"0500000US06089","Shasta County, California","71314","640","46028","816","25286","929",
"0500000US06091","Sierra County, California","1151","153","908","135","243","112",
"0500000US06093","Siskiyou County, California","18598","345","12434","427","6164","377",
"0500000US06095","Solano County, California","153632","844","96040","1313","57592","1362",
"0500000US06097","Sonoma County, California","188841","973","115955","1595","72886","1509",
"0500000US06099","Stanislaus County, California","175067","752","104220","1456","70847","1401",
"0500000US06101","Sutter County, California","32703","347","19580","626","13123","624",
"0500000US06103","Tehama County, California","24551","399","16496","624","8055","588",
"0500000US06105","Trinity County, California","5492","221","3862","343","1630","267",
"0500000US06107","Tulare County, California","139631","703","80125","1536","59506","1491",
"0500000US06109","Tuolumne County, California","23103","533","17262","589","5841","555",
"0500000US06111","Ventura County, California","274471","963","174394","1967","100077","1969",
"0500000US06113","Yolo County, California","75471","570","39042","902","36429","918",
"0500000US06115","Yuba County, California","26888","492","16556","630","10332","660",
