"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0400000US06","California","13315822","16341","7407361","35557","5908461","23603",
"0500000US06001","Alameda County, California","585818","1633","317451","2487","268367","2186",
"0500000US06003","Alpine County, California","435","72","360","65","75","34",
"0500000US06005","Amador County, California","15745","433","12440","554","3305","453",
"0500000US06007","Butte County, California","83319","903","48424","1087","34895","1363",
"0500000US06009","Calaveras County, California","17198","559","14114","613","3084","420",
"0500000US06011","Colusa County, California","7432","182","4686","275","2746","285",
"0500000US06013","Contra Costa County, California","408537","1056","274388","2473","134149","2301",
"0500000US06015","Del Norte County, California","9530","265","6492","369","3038","334",
"0500000US06017","El Dorado County, California","75190","847","57235","1031","17955","944",
"0500000US06019","Fresno County, California","318322","1104","172455","2206","145867","2240",
"0500000US06021","Glenn County, California","9742","209","5906","370","3836","406",
"0500000US06023","Humboldt County, California","54495","612","30965","928","23530","1036",
"0500000US06025","Imperial County, California","47024","737","27122","1073","19902","1067",
"0500000US06027","Inyo County, California","7849","199","5178","311","2671","263",
"0500000US06029","Kern County, California","277499","1252","165473","2165","112026","2085",
"0500000US06031","Kings County, California","43594","511","23924","898","19670","826",
"0500000US06033","Lake County, California","26487","550","18420","648","8067","594",
"0500000US06035","Lassen County, California","8925","269","6131","251","2794","309",
"0500000US06037","Los Angeles County, California","3363093","4811","1552164","9893","1810929","8053",
"0500000US06039","Madera County, California","43857","598","28719","913","15138","813",
"0500000US06041","Marin County, California","103709","626","66444","1220","37265","1251",
"0500000US06043","Mariposa County, California","7597","277","5604","287","1993","234",
"0500000US06045","Mendocino County, California","34557","536","21044","698","13513","779",
"0500000US06047","Merced County, California","82760","585","44156","1122","38604","1100",
"0500000US06049","Modoc County, California","3403","223","2557","207","846","213",
"0500000US06051","Mono County, California","5473","393","3743","356","1730","294",
"0500000US06053","Monterey County, California","130973","703","68359","1208","62614","1189",
"0500000US06055","Napa County, California","49218","530","32076","704","17142","756",
"0500000US06057","Nevada County, California","41415","733","31000","832","10415","677",
"0500000US06059","Orange County, California","1066286","2681","602959","4762","463327","4408",
"0500000US06061","Placer County, California","152537","841","112597","1337","39940","1202",
"0500000US06063","Plumas County, California","8104","289","6023","298","2081","291",
"0500000US06065","Riverside County, California","749976","2293","513821","3320","236155","2849",
"0500000US06067","Sacramento County, California","563856","1293","328664","3225","235192","3136",
"0500000US06069","San Benito County, California","19852","157","13087","478","6765","502",
"0500000US06071","San Bernardino County, California","659928","1852","403105","3704","256823","3568",
"0500000US06073","San Diego County, California","1149157","2527","623317","4719","525840","4478",
"0500000US06075","San Francisco County, California","360842","2015","139117","2380","221725","2954",
"0500000US06077","San Joaquin County, California","237423","1003","142391","1994","95032","1789",
"0500000US06079","San Luis Obispo County, California","108099","885","67031","1228","41068","1404",
"0500000US06081","San Mateo County, California","264323","1022","157368","1717","106955","1640",
"0500000US06083","Santa Barbara County, California","148032","766","78168","1092","69864","1200",
"0500000US06085","Santa Clara County, California","650352","1811","361551","3251","288801","3089",
"0500000US06087","Santa Cruz County, California","96487","790","57852","1120","38635","1176",
"0500000US06089","Shasta County, California","71107","598","46257","1018","24850","1037",
"0500000US06091","Sierra County, California","1135","127","940","122","195","110",
"0500000US06093","Siskiyou County, California","18768","383","12744","443","6024","345",
"0500000US06095","Solano County, California","154987","685","97692","1196","57295","1287",
"0500000US06097","Sonoma County, California","189653","981","116921","1322","72732","1478",
"0500000US06099","Stanislaus County, California","175747","767","106359","1646","69388","1560",
"0500000US06101","Sutter County, California","33041","315","19680","640","13361","688",
"0500000US06103","Tehama County, California","24623","412","16520","628","8103","541",
"0500000US06105","Trinity County, California","5483","208","3883","322","1600","317",
"0500000US06107","Tulare County, California","140670","865","82078","1745","58592","1716",
"0500000US06109","Tuolumne County, California","22831","587","16991","627","5840","529",
"0500000US06111","Ventura County, California","275653","1072","176575","1768","99078","1846",
"0500000US06113","Yolo County, California","76107","513","39712","803","36395","805",
"0500000US06115","Yuba County, California","27567","375","16928","674","10639","693",
