"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0400000US06","California","13044266","20333","7154580","37872","5889686","21311",
"0500000US06001","Alameda County, California","577177","1744","308891","2593","268286","2245",
"0500000US06003","Alpine County, California","350","69","294","60","56","25",
"0500000US06005","Amador County, California","14594","448","11165","442","3429","392",
"0500000US06007","Butte County, California","85320","891","50331","856","34989","932",
"0500000US06009","Calaveras County, California","16942","552","13173","519","3769","431",
"0500000US06011","Colusa County, California","7227","159","4410","200","2817","226",
"0500000US06013","Contra Costa County, California","394769","1262","260244","1953","134525","1902",
"0500000US06015","Del Norte County, California","9945","282","6273","376","3672","349",
"0500000US06017","El Dorado County, California","70974","770","53750","917","17224","880",
"0500000US06019","Fresno County, California","307906","1137","164124","1774","143782","1814",
"0500000US06021","Glenn County, California","10085","209","5988","358","4097","356",
"0500000US06023","Humboldt County, California","54679","795","31078","716","23601","960",
"0500000US06025","Imperial County, California","44829","876","26156","860","18673","766",
"0500000US06027","Inyo County, California","7950","252","5204","269","2746","255",
"0500000US06029","Kern County, California","270282","1291","157554","1750","112728","1949",
"0500000US06031","Kings County, California","43452","495","22733","688","20719","722",
"0500000US06033","Lake County, California","25660","710","17034","588","8626","716",
"0500000US06035","Lassen County, California","9280","371","6270","293","3010","286",
"0500000US06037","Los Angeles County, California","3316795","5782","1519516","10428","1797279","7074",
"0500000US06039","Madera County, California","44881","590","28772","850","16109","802",
"0500000US06041","Marin County, California","105432","883","67115","925","38317","1113",
"0500000US06043","Mariposa County, California","7643","346","5230","320","2413","323",
"0500000US06045","Mendocino County, California","34408","643","20611","659","13797","758",
"0500000US06047","Merced County, California","80008","727","41795","885","38213","939",
"0500000US06049","Modoc County, California","3616","232","2708","199","908","164",
"0500000US06051","Mono County, California","4765","377","3068","341","1697","324",
"0500000US06053","Monterey County, California","127155","979","64900","934","62255","1425",
"0500000US06055","Napa County, California","48705","496","31276","635","17429","606",
"0500000US06057","Nevada County, California","40855","701","30316","611","10539","637",
"0500000US06059","Orange County, California","1037492","2280","595272","3760","442220","3657",
"0500000US06061","Placer County, California","142855","835","102650","1120","40205","1028",
"0500000US06063","Plumas County, California","8450","343","6156","310","2294","280",
"0500000US06065","Riverside County, California","724893","2905","480944","3870","243949","2315",
"0500000US06067","Sacramento County, California","543025","1581","306324","2167","236701","2352",
"0500000US06069","San Benito County, California","18135","195","11554","407","6581","408",
"0500000US06071","San Bernardino County, California","636041","2447","380281","3411","255760","2743",
"0500000US06073","San Diego County, California","1125286","3400","600104","4624","525182","4165",
"0500000US06075","San Francisco County, California","362354","1777","136239","1950","226115","1724",
"0500000US06077","San Joaquin County, California","228567","1049","129419","1813","99148","1627",
"0500000US06079","San Luis Obispo County, California","105981","939","65248","1021","40733","1157",
"0500000US06081","San Mateo County, California","263543","1093","158543","1355","105000","1367",
"0500000US06083","Santa Barbara County, California","145856","881","75945","1197","69911","1291",
"0500000US06085","Santa Clara County, California","640215","1602","361105","2687","279110","2444",
"0500000US06087","Santa Cruz County, California","95818","913","57561","932","38257","1106",
"0500000US06089","Shasta County, California","71181","714","45548","808","25633","735",
"0500000US06091","Sierra County, California","1319","142","994","138","325","102",
"0500000US06093","Siskiyou County, California","19240","358","12509","322","6731","389",
"0500000US06095","Solano County, California","149865","816","92149","1276","57716","1262",
"0500000US06097","Sonoma County, California","189374","1128","116393","1492","72981","1567",
"0500000US06099","Stanislaus County, California","173898","690","100576","1687","73322","1575",
"0500000US06101","Sutter County, California","32636","318","18839","576","13797","635",
"0500000US06103","Tehama County, California","24189","400","15813","586","8376","480",
"0500000US06105","Trinity County, California","5939","251","4093","258","1846","223",
"0500000US06107","Tulare County, California","138238","720","78866","1237","59372","1188",
"0500000US06109","Tuolumne County, California","22502","543","16039","593","6463","536",
"0500000US06111","Ventura County, California","271040","1203","171174","1860","99866","1847",
"0500000US06113","Yolo County, California","74296","472","38315","918","35981","977",
"0500000US06115","Yuba County, California","26354","402","15948","505","10406","529",
