"GEO_ID","NAME","K200201_001E","K200201_001M","K200201_002E","K200201_002M","K200201_003E","K200201_003M","K200201_004E","K200201_004M","K200201_005E","K200201_005M","K200201_006E","K200201_006M","K200201_007E","K200201_007M","K200201_008E","K200201_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races","Margin of Error!!Total:!!Two or more races",
"0400000US06","California","39237836","*****","15443776","53506","2161485","17830","535468","21779","5967495","25961","152125","6294","7523454","68396","7454033","77668",
"0500000US06001","Alameda County, California","1648556","*****","507237","6208","161520","3266","16177","4482","538681","6267","13608","1107","219426","9602","191907","10759",
"0500000US06005","Amador County, California","41259","*****","30713","1394","1022","384","348","170","517","243","30","46","2806","920","5823","1579",
"0500000US06007","Butte County, California","208309","*****","150199","3045","4104","818","2582","1107","11301","932","651","196","10786","2201","28686","2921",
"0500000US06009","Calaveras County, California","46221","*****","36327","788","281","276","1170","722","614","286","0","218","2741","1047","5088","1296",
"0500000US06011","Colusa County, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US06013","Contra Costa County, California","1161413","*****","497712","4781","101061","3686","14838","4358","212648","5036","5438","1127","155515","9332","174201","10399",
"0500000US06015","Del Norte County, California","28100","*****","16605","2170","740","366","3518","1405","945","860","0","218","1677","1122","4615","2078",
"0500000US06017","El Dorado County, California","193221","*****","147391","3072","1509","765","1620","976","11062","1680","36","69","8979","2861","22624","3356",
"0500000US06019","Fresno County, California","1013581","*****","336394","10459","43869","2683","12992","2693","110995","3804","1789","322","219670","14229","287872","16745",
"0500000US06021","Glenn County, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US06023","Humboldt County, California","136310","*****","95569","2329","1620","613","7853","2034","4685","986","486","468","5900","1756","20197","3466",
"0500000US06025","Imperial County, California","179851","*****","30270","4096","4984","702","3567","1368","3048","933","28","50","89216","9514","48738","9379",
"0500000US06029","Kern County, California","917673","*****","414385","12926","47015","3242","11859","3084","45257","3191","1566","342","164922","12399","232669","14742",
"0500000US06031","Kings County, California","153443","*****","55481","3703","10751","742","2974","1184","6237","822","683","683","40899","5868","36418","5954",
"0500000US06033","Lake County, California","68766","*****","47729","2124","1468","423","1329","912","1080","270","681","705","7479","1936","9000","2461",
"0500000US06035","Lassen County, California","33159","*****","21989","759","2009","488","811","619","212","245","55","127","424","550","7659","1028",
"0500000US06037","Los Angeles County, California","9829544","*****","2909096","21155","745491","9340","168537","14958","1455775","8987","22961","3178","2547028","34713","1980656","39365",
"0500000US06039","Madera County, California","159410","*****","60686","4586","4027","1270","1973","840","3454","664","295","378","52423","6489","36552","6163",
"0500000US06041","Marin County, California","260206","*****","181285","3245","5810","1671","1430","885","17472","1557","704","840","24195","5128","29310","4163",
"0500000US06043","Mariposa County, California","22542","2023","17179","2308","133","211","494","524","717","525","64","154","1141","1087","2814","1028",
"0500000US06045","Mendocino County, California","91305","*****","58663","897","1172","965","3395","1112","2073","311","277","254","11850","3373","13875","3261",
"0500000US06047","Merced County, California","286461","*****","86433","4397","8665","1309","3918","1370","21723","995","630","416","128147","6079","36945","5907",
"0500000US06053","Monterey County, California","437325","*****","139727","3680","10290","1461","2800","998","26313","1673","2056","174","192775","7609","63364","7154",
"0500000US06055","Napa County, California","136207","*****","76435","2672","2643","465","2417","1256","12092","741","140","178","19123","3702","23357","3549",
"0500000US06057","Nevada County, California","103487","*****","85926","1984","343","258","357","380","2584","1296","0","218","3125","1828","11152","2207",
"0500000US06059","Orange County, California","3167809","*****","1361528","14201","57685","3403","28359","5021","701307","7689","8747","1636","491135","21003","519048","19721",
"0500000US06061","Placer County, California","412300","*****","290804","3789","5842","1002","1805","908","34287","2839","277","334","23104","3754","56181","4796",
"0500000US06065","Riverside County, California","2458395","*****","887331","12933","158186","4655","26026","4034","164980","5376","8665","1929","702249","21543","510958","21695",
"0500000US06067","Sacramento County, California","1588921","*****","710255","7237","157690","6116","15943","3365","272825","5042","18052","1415","184039","11904","230117","13820",
"0500000US06069","San Benito County, California","66677","*****","23970","2062","355","472","873","673","2154","846","722","636","12720","3060","25883","3089",
"0500000US06071","San Bernardino County, California","2194710","*****","723292","13567","173834","6319","38649","6148","176441","4236","8377","1707","619332","19652","454785","18902",
"0500000US06073","San Diego County, California","3286069","*****","1574281","14006","154666","4945","38916","6568","395550","7380","13005","2094","391847","18697","717804","21386",
"0500000US06075","San Francisco County, California","815201","*****","317763","4565","42989","2143","3912","1458","289622","4111","2644","1210","62933","6515","95338","7153",
"0500000US06077","San Joaquin County, California","789410","*****","246993","5128","52965","3034","10294","3352","146867","4999","5773","706","147491","10303","179027","10758",
"0500000US06079","San Luis Obispo County, California","283159","*****","198073","4996","3502","1046","1984","1471","9632","1878","603","607","18846","4533","50519","6157",
"0500000US06081","San Mateo County, California","737888","*****","287091","5476","17491","1719","9397","3034","230827","3749","9516","916","84489","7307","99077","7890",
"0500000US06083","Santa Barbara County, California","446475","*****","211877","5869","8528","1072","5975","2068","23983","1799","843","532","78016","7978","117253","8001",
"0500000US06085","Santa Clara County, California","1885508","*****","573548","6133","45968","2441","16914","3590","742426","5365","8046","1640","200753","11135","297853","12732",
"0500000US06087","Santa Cruz County, California","267792","*****","154786","3259","2415","1310","5252","4096","13072","1194","0","218","49012","6668","43255","5182",
"0500000US06089","Shasta County, California","182139","*****","142473","2052","2231","1064","3123","829","6098","999","95","185","5601","1836","22518","3254",
"0500000US06093","Siskiyou County, California","44118","*****","34328","1112","1039","218","1385","349","951","270","21","37","1041","516","5353","1159",
"0500000US06095","Solano County, California","451716","*****","174831","5601","57039","3120","2554","1446","72676","2704","3659","1397","68494","7377","72463","7418",
"0500000US06097","Sonoma County, California","485887","*****","309810","4770","7725","1441","7878","2711","22541","1523","2275","749","68072","6361","67586","6081",
"0500000US06099","Stanislaus County, California","552999","*****","230860","5838","15738","1884","9842","4151","32536","2068","3730","790","102027","8329","158266","10915",
