"GEO_ID","NAME","K200201_001E","K200201_001M","K200201_002E","K200201_002M","K200201_003E","K200201_003M","K200201_004E","K200201_004M","K200201_005E","K200201_005M","K200201_006E","K200201_006M","K200201_007E","K200201_007M","K200201_008E","K200201_008M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races",
"0400000US06","California","39557045","*****","23535388","66698","2283850","14690","302792","11731","5821585","21930","155739","5748","5453229","70977","2004462","33391",
"0500000US06001","Alameda County, California","1666753","*****","643907","9044","172152","3404","10645","1836","513491","5600","14224","951","202397","10399","109937","8010",
"0500000US06005","Amador County, California","39383","*****","33624","836","684","251","313","219","342","226","2","4","2182","779","2236","354",
"0500000US06007","Butte County, California","231256","*****","186452","2871","4019","1027","2274","853","10017","1744","360","427","12617","2628","15517","2468",
"0500000US06009","Calaveras County, California","45602","*****","41121","732","267","260","357","395","629","456","14","28","678","729","2536","985",
"0500000US06011","Colusa County, California","21627","*****","18440","1345","516","396","230","275","221","223","70","107","1541","1141","609","596",
"0500000US06013","Contra Costa County, California","1150215","*****","622301","9651","101253","3383","7347","2383","195848","3948","5718","674","134475","10148","83273","7988",
"0500000US06015","Del Norte County, California","27828","*****","19832","1646","1303","604","2084","718","953","678","0","211","1710","1154","1946","946",
"0500000US06017","El Dorado County, California","190678","*****","169150","1290","1221","609","924","650","8834","1126","525","689","2255","949","7769","1297",
"0500000US06019","Fresno County, California","994400","*****","643787","10805","45504","3080","15894","4646","103204","2511","1252","439","139153","11013","45606","4879",
"0500000US06021","Glenn County, California","28047","*****","23359","1813","262","308","1375","701","1092","240","15","49","1687","1469","257","227",
"0500000US06023","Humboldt County, California","136373","*****","106163","1721","1553","475","6438","1134","4610","922","33","44","7462","1848","10114","2212",
"0500000US06025","Imperial County, California","181827","*****","117180","6009","4201","859","1035","376","2801","322","204","235","47971","5030","8435","2864",
"0500000US06029","Kern County, California","896764","*****","673595","10342","50289","3454","8106","1760","44299","2892","1656","594","84783","9983","34036","5583",
"0500000US06031","Kings County, California","151366","*****","96634","3747","10428","1396","1502","498","6833","607","273","348","30198","3816","5498","1581",
"0500000US06033","Lake County, California","64382","*****","47341","1257","1546","100","3040","1761","622","323","15","32","9643","2153","2175","1135",
"0500000US06035","Lassen County, California","30802","*****","25640","348","3121","561","613","360","423","181","23","43","376","391","606","350",
"0500000US06037","Los Angeles County, California","10105518","*****","5184112","39738","811476","8422","76089","7431","1492554","9252","28376","1914","2076549","42339","436362","17064",
"0500000US06039","Madera County, California","157672","*****","91440","5612","5417","658","1510","661","3619","184","132","216","49419","5977","6135","1713",
"0500000US06041","Marin County, California","259666","*****","206330","4212","6312","974","275","212","16431","1343","466","182","16866","3964","12986","2566",
"0500000US06043","Mariposa County, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US06045","Mendocino County, California","87606","*****","73040","2083","294","281","3434","1126","2190","330","153","163","4829","1953","3666","809",
"0500000US06047","Merced County, California","274765","*****","157100","6761","9118","1242","2300","1189","20204","1925","1094","1495","74161","6859","10788","2301",
"0500000US06053","Monterey County, California","435594","*****","205303","8932","11753","1233","6540","3259","25748","1870","2232","247","167885","9330","16133","2651",
"0500000US06055","Napa County, California","139417","*****","106436","4048","2237","590","1011","814","12249","874","202","249","11435","3879","5847","1617",
"0500000US06057","Nevada County, California","99696","*****","91285","2255","534","381","345","261","1249","500","158","252","2207","2300","3918","841",
"0500000US06059","Orange County, California","3185968","*****","1922991","16838","59872","3402","13213","2686","666421","6135","10196","1765","378653","16760","134622","9457",
"0500000US06061","Placer County, California","393149","*****","322796","3018","6738","1119","2028","572","30817","1505","667","467","11993","3036","18110","3046",
"0500000US06065","Riverside County, California","2450758","*****","1486443","20898","160065","5285","17330","2215","163182","4147","7783","1989","512513","20984","103442","8156",
"0500000US06067","Sacramento County, California","1540975","*****","874105","11018","152261","4606","11548","2863","248351","5826","18375","973","120060","10514","116275","9506",
"0500000US06069","San Benito County, California","61537","*****","52384","1680","252","227","370","311","1850","508","63","104","2959","1212","3659","1321",
"0500000US06071","San Bernardino County, California","2171603","*****","1320579","19051","178755","5550","19292","4156","157436","4011","6908","1136","383485","17760","105148","10666",
"0500000US06073","San Diego County, California","3343364","*****","2373583","14034","171408","4175","20446","2604","401745","7191","13943","1866","187840","11934","174399","10180",
"0500000US06075","San Francisco County, California","883305","*****","400727","5306","45886","2178","2308","945","302795","4830","2126","1215","71923","5384","57540","6619",
"0500000US06077","San Joaquin County, California","752660","*****","436288","9166","54996","2282","4560","1299","120792","3754","4351","840","47132","6666","84541","8323",
"0500000US06079","San Luis Obispo County, California","284010","*****","248227","2749","5123","1020","1731","538","10265","1153","235","194","6756","1982","11673","2104",
"0500000US06081","San Mateo County, California","769545","*****","385286","9167","16374","1667","3089","1661","226445","3136","8787","1100","80699","9187","48865","4711",
"0500000US06083","Santa Barbara County, California","446527","*****","349976","6926","9371","861","6202","1810","24922","1281","500","484","35392","6118","20164","3731",
"0500000US06085","Santa Clara County, California","1937570","*****","859705","12972","49486","2260","8791","2098","721307","5678","6751","1467","191580","13292","99950","8044",
"0500000US06087","Santa Cruz County, California","274255","*****","201567","7296","2874","875","954","573","13521","1352","388","454","41896","7180","13055","2007",
"0500000US06089","Shasta County, California","180040","*****","153562","1655","2080","585","4384","1121","5654","765","341","338","6307","1621","7712","1555",
"0500000US06093","Siskiyou County, California","43724","*****","36285","649","611","253","1359","490","261","317","0","211","1039","608","4169","845",
"0500000US06095","Solano County, California","446610","*****","237882","5407","59795","2532","2524","751","70209","2836","4869","573","39696","5558","31635","3951",
"0500000US06097","Sonoma County, California","499942","*****","369293","7201","8049","1765","5039","2619","21637","1533","1176","689","69166","7239","25582","3781",
"0500000US06099","Stanislaus County, California","549815","*****","434015","7100","16865","1625","5011","1206","28148","2064","4616","369","37100","5923","24060","3392",
"0500000US06101","Sutter County, California","96807","*****","66617","1895","2001","318","888","436","13831","1805","1399","1227","5094","1860","6977","1933",
"0500000US06103","Tehama County, California","63916","*****","55037","2398","1109","903","993","503","1074","228","0","211","3304","2060","2399","1158",
"0500000US06107","Tulare County, California","465861","*****","332150","11002","8947","1922","4550","1605","17675","1436","711","118","84196","10559","17632","3554",
"0500000US06109","Tuolumne County, California","54539","*****","47424","886","829","564","645","294","948","187","206","241","1065","481","3422","930",
"0500000US06111","Ventura County, California","850967","*****","685974","7779","14696","1512","5106","1438","64523","2165","1632","511","39930","6431","39106","5041",
"0500000US06113","Yolo County, California","220408","*****","158000","3186","6684","1629","925","776","31615","1545","1102","201","6636","2006","15446","2543",
"0500000US06115","Yuba County, California","78041","*****","60004","1743","2132","717","1513","854","5721","1122","1025","1041","2385","1070","5261","1638",
