"GEO_ID","NAME","K200201_001E","K200201_001M","K200201_002E","K200201_002M","K200201_003E","K200201_003M","K200201_004E","K200201_004M","K200201_005E","K200201_005M","K200201_006E","K200201_006M","K200201_007E","K200201_007M","K200201_008E","K200201_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races","Margin of Error!!Total:!!Two or More Races",
"0400000US06","California","38965193","*****","14999252","50330","2103789","22262","546952","21699","6146851","21851","150781","7340","7619295","84065","7398273","85392",
"0500000US06001","Alameda County, California","1622188","*****","476653","4987","152183","4939","16656","3677","544257","6386","12136","1564","219039","11915","201264","12742",
"0500000US06005","Amador County, California","41811","*****","30420","1133","870","444","614","429","997","700","29","52","3552","1088","5329","1208",
"0500000US06007","Butte County, California","207172","*****","139491","2676","3125","1154","2154","653","11456","1215","50","91","19583","3836","31313","3862",
"0500000US06009","Calaveras County, California","46565","*****","35459","1470","169","160","892","755","1071","893","0","221","960","882","8014","1889",
"0500000US06011","Colusa County, California","22037","*****","8920","2353","138","330","56","75","186","182","31","54","8750","3321","3956","2628",
"0500000US06013","Contra Costa County, California","1155025","*****","460164","5624","93333","4476","12612","3994","227976","4932","4565","1720","166816","11532","189559","13204",
"0500000US06015","Del Norte County, California","26589","*****","16194","1746","1235","416","1518","713","491","333","86","146","2955","1561","4110","1345",
"0500000US06017","El Dorado County, California","192215","*****","144555","3440","1917","489","1376","583","10041","1331","147","223","8455","2311","25724","3176",
"0500000US06019","Fresno County, California","1017162","*****","354448","9285","40065","3847","17077","3606","116969","2728","1689","563","245781","13949","241133","15331",
"0500000US06021","Glenn County, California","28129","*****","13837","971","119","155","285","188","760","286","0","221","11016","1144","2112","926",
"0500000US06023","Humboldt County, California","133985","*****","96882","1522","1146","637","5560","1198","5031","771","166","166","7376","2599","17824","3004",
"0500000US06025","Imperial County, California","179057","*****","28791","3241","1929","867","4156","1491","2370","500","289","407","80514","7572","61008","7903",
"0500000US06029","Kern County, California","913820","*****","365758","11656","47436","3797","15611","3404","46588","2598","1456","281","200306","10812","236665","12299",
"0500000US06031","Kings County, California","152682","*****","57518","3510","10102","1075","3035","1127","5399","623","33","61","41722","4873","34873","4621",
"0500000US06033","Lake County, California","67878","*****","43217","1723","2370","1276","1882","1609","960","446","407","565","10860","2207","8182","2911",
"0500000US06035","Lassen County, California","28861","*****","20821","1281","2158","158","844","244","403","208","8","3","707","628","3920","1119",
"0500000US06037","Los Angeles County, California","9663345","*****","2911951","24757","733060","10373","150410","12265","1481627","10068","21987","2853","2456346","41444","1907964","38254",
"0500000US06039","Madera County, California","162858","*****","58508","3046","4649","945","6006","3665","3471","1084","1324","1271","54060","6630","34840","6110",
"0500000US06041","Marin County, California","254407","*****","169406","3179","6131","1138","1379","982","15927","1563","119","170","28272","3827","33173","4360",
"0500000US06045","Mendocino County, California","89108","*****","55410","1817","946","264","1629","702","2647","148","36","65","6791","2235","21649","3184",
"0500000US06047","Merced County, California","291920","*****","80706","4013","9121","1176","6454","3156","19979","1996","1591","1100","130037","7021","44032","6329",
"0500000US06053","Monterey County, California","430723","*****","142220","5835","9784","666","5775","2395","24248","1720","3244","2089","179411","8253","66041","7257",
"0500000US06055","Napa County, California","133216","*****","73108","3565","3673","1271","581","407","12023","1615","246","329","19613","4443","23972","5237",
"0500000US06057","Nevada County, California","102037","*****","81634","1811","181","147","452","270","2013","979","0","221","6472","2775","11285","2625",
"0500000US06059","Orange County, California","3135755","*****","1293307","12866","53444","4140","29710","5415","718682","6318","9589","1500","461626","19359","569397","22395",
"0500000US06061","Placer County, California","423561","*****","287535","4510","8932","1525","2098","1232","41374","3331","1255","254","19078","3189","63289","5514",
"0500000US06065","Riverside County, California","2492442","*****","899421","15895","156044","8301","42095","9317","178958","6265","8502","1355","628277","26639","579145","23096",
"0500000US06067","Sacramento County, California","1584288","*****","679718","6908","146724","6264","18477","5260","285613","7882","19815","1387","198139","10151","235802","15416",
"0500000US06069","San Benito County, California","68175","*****","23357","1778","826","557","426","385","3169","1262","0","221","12207","3174","28190","3578",
"0500000US06071","San Bernardino County, California","2195611","*****","674305","12992","174522","6389","32223","4629","189895","4299","7702","1575","674524","19135","442440","15661",
"0500000US06073","San Diego County, California","3269973","*****","1532103","13500","152177","5693","38289","7520","412931","8035","12917","2446","420500","22255","701056","21424",
"0500000US06075","San Francisco County, California","808988","*****","315781","3753","38954","2836","7549","2796","290315","3655","2821","712","61524","6594","92044","7189",
"0500000US06077","San Joaquin County, California","800965","*****","250177","7531","54826","3551","14619","4148","154738","3628","5144","878","174216","12244","147245","12003",
"0500000US06079","San Luis Obispo County, California","281639","*****","192900","3368","3359","645","2031","1089","10892","1270","67","115","25852","5118","46538","5110",
"0500000US06081","San Mateo County, California","726353","*****","273188","4997","14780","1995","9446","3825","232388","4200","8403","1566","87398","6854","100750","7557",
"0500000US06083","Santa Barbara County, California","441257","*****","209567","5986","7032","1394","14115","3739","24067","2059","407","377","66072","7954","119997","9480",
"0500000US06085","Santa Clara County, California","1877592","*****","547247","7035","45818","2877","18064","4828","771154","6197","9133","1601","216643","12799","269533","14041",
"0500000US06087","Santa Cruz County, California","261547","*****","157195","3987","2277","655","3146","1568","12522","1394","64","85","50107","5584","36236","4681",
"0500000US06089","Shasta County, California","180366","*****","138765","2359","2107","1184","3431","1298","7322","1054","1106","1047","5647","2061","21988","2701",
"0500000US06093","Siskiyou County, California","42905","*****","33804","742","423","256","1412","419","633","368","56","91","845","415","5732","856",
"0500000US06095","Solano County, California","449218","*****","170865","4762","54465","4173","4653","2141","77360","2249","4381","613","62993","7579","74501","7959",
"0500000US06097","Sonoma County, California","481812","*****","293929","4985","8029","1571","7296","3129","21802","2384","1492","540","69475","8005","79789","7219",
"0500000US06099","Stanislaus County, California","551430","*****","225211","6337","16326","2291","6525","2118","34577","2154","4700","1078","106639","9634","157452","10817",
"0500000US06101","Sutter County, California","97948","*****","44719","2670","1549","634","1823","1415","17605","1434","147","170","18493","3659","13612","2967",
"0500000US06103","Tehama County, California","64896","*****","42358","2269","230","65","1912","647","1097","447","315","326","12763","2800","6221","2404",
"0500000US06107","Tulare County, California","479468","*****","150527","4490","6711","1307","8454","2219","17760","1305","780","82","189032","11218","106204","11317",
"0500000US06109","Tuolumne County, California","54204","*****","42544","534","1038","364","1051","662","466","360","210","207","1580","712","7315","1037",
"0500000US06111","Ventura County, California","829590","*****","424667","8692","16560","2018","11785","3709","60259","3203","1834","430","104378","11215","210107","11672",
"0500000US06113","Yolo County, California","220544","*****","113458","4268","6586","1054","3877","1468","35323","1537","250","241","25564","4213","35486","4878",
"0500000US06115","Yuba County, California","85722","*****","45366","2207","3969","1116","1685","907","7119","1222","0","221","13145","2696","14438","3271",
