"GEO_ID","NAME","K200201_001E","K200201_001M","K200201_002E","K200201_002M","K200201_003E","K200201_003M","K200201_004E","K200201_004M","K200201_005E","K200201_005M","K200201_006E","K200201_006M","K200201_007E","K200201_007M","K200201_008E","K200201_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races","Margin of Error!!Total:!!Two or More Races",
"0400000US06","California","39029342","*****","15175598","45032","2121422","20705","504589","22673","6054038","22889","159920","7320","7597084","79525","7416691","74887",
"0500000US06001","Alameda County, California","1628997","*****","491721","6790","159004","4289","15768","4314","545038","5945","10261","1880","212983","11369","194222","11419",
"0500000US06005","Amador County, California","41412","*****","33621","890","798","449","479","292","1009","652","0","218","1518","393","3987","1072",
"0500000US06007","Butte County, California","207303","*****","145871","3576","3539","781","2893","781","11882","1628","900","1239","13924","3355","28294","4162",
"0500000US06009","Calaveras County, California","46563","*****","36433","823","658","721","832","388","706","841","267","353","3107","1970","4560","1848",
"0500000US06011","Colusa County, California","21914","*****","9570","1820","19","9","296","298","25","47","0","218","8026","2110","3978","1848",
"0500000US06013","Contra Costa County, California","1156966","*****","472779","5385","100358","3315","8043","2319","223114","4739","5970","993","164109","10782","182593","10416",
"0500000US06015","Del Norte County, California","27082","*****","17531","2098","662","184","2380","1255","1817","1031","55","93","1141","618","3496","1861",
"0500000US06017","El Dorado County, California","192646","*****","149628","2953","1155","545","956","448","11504","1586","190","197","9138","3605","20075","2734",
"0500000US06019","Fresno County, California","1015190","*****","332288","12161","46264","3092","17291","3846","110524","3570","1635","777","255344","16121","251844","16049",
"0500000US06021","Glenn County, California","28339","*****","14716","937","13","5","435","293","693","545","0","218","4363","1510","8119","1774",
"0500000US06023","Humboldt County, California","135010","*****","97894","1077","1781","643","5675","964","3604","1379","222","215","9786","2218","16048","2413",
"0500000US06025","Imperial County, California","178713","*****","31944","4146","4145","836","2481","937","2881","466","54","84","86334","8820","50874","7171",
"0500000US06029","Kern County, California","916108","*****","402044","12687","47574","2709","14878","3893","50010","2427","2814","1964","187183","13498","211605","13896",
"0500000US06031","Kings County, California","152981","*****","56039","3778","9412","1711","4246","2171","5877","879","303","432","39624","5849","37480","5579",
"0500000US06033","Lake County, California","68191","*****","46872","1610","1333","595","1187","721","850","403","229","235","9325","2306","8395","2099",
"0500000US06035","Lassen County, California","29904","*****","20011","442","2542","616","505","269","539","404","764","735","1087","647","4456","810",
"0500000US06037","Los Angeles County, California","9721138","*****","2857095","21130","739392","11573","135624","10944","1453709","11413","24450","2195","2510738","38415","2000130","42093",
"0500000US06039","Madera County, California","160256","*****","57165","3538","3952","1117","4053","2519","4248","451","894","931","59644","6452","30300","5278",
"0500000US06041","Marin County, California","256018","*****","176130","3251","6512","1118","1743","836","17732","1595","286","495","25561","3557","28054","4469",
"0500000US06043","Mariposa County, California","21554","2529","14231","2396","30","101","287","334","803","588","0","218","2256","2032","3947","1722",
"0500000US06045","Mendocino County, California","89783","*****","58834","1856","101","124","3623","970","1646","668","0","218","6712","1966","18867","2796",
"0500000US06047","Merced County, California","290014","*****","91224","4870","8209","1223","4812","3345","20463","2021","978","140","129848","6943","34480","5524",
"0500000US06053","Monterey County, California","432858","*****","139376","4072","7893","905","3121","1460","24350","1568","1999","239","196167","7475","59952","6414",
"0500000US06055","Napa County, California","134300","*****","71514","2639","2500","594","2416","2483","11558","795","520","27","22932","3749","22860","4430",
"0500000US06057","Nevada County, California","102293","*****","86636","1779","394","178","313","348","2534","707","17","51","1931","1018","10468","1955",
"0500000US06059","Orange County, California","3151184","*****","1332294","12031","48980","3869","27456","4748","711229","7220","10737","1626","476637","19580","543851","18318",
"0500000US06061","Placer County, California","417772","*****","287061","5100","8044","1702","2469","1332","36630","3114","242","234","17921","3231","65405","6825",
"0500000US06065","Riverside County, California","2473902","*****","900330","14977","158360","5104","35524","5509","177843","4327","9014","1791","657345","20109","535486","18855",
"0500000US06067","Sacramento County, California","1584169","*****","693068","7933","149587","6872","19172","3959","280270","6225","18313","2850","197647","11224","226112","13094",
"0500000US06069","San Benito County, California","67579","*****","21419","1908","680","193","3231","2384","2430","773","126","215","10311","2466","29382","3674",
"0500000US06071","San Bernardino County, California","2193656","*****","682003","11377","169101","5838","31791","4959","185972","4398","8064","1653","625231","20084","491494","21340",
"0500000US06073","San Diego County, California","3276208","*****","1557995","14053","148911","6509","34135","5199","405408","6872","16076","2267","429229","19787","684454","18704",
"0500000US06075","San Francisco County, California","808437","*****","315764","3985","37361","2934","8086","4622","289678","3734","4071","1299","56617","6717","96860","7317",
"0500000US06077","San Joaquin County, California","793229","*****","250032","7777","59834","3511","13382","4294","148324","3274","3703","1201","155820","13361","162134","14240",
"0500000US06079","San Luis Obispo County, California","282013","*****","195388","3358","3148","1329","3587","1782","11697","2660","711","96","23628","5203","43854","5217",
"0500000US06081","San Mateo County, California","729181","*****","277989","5014","15916","2564","8007","2773","231998","3215","9670","1410","76946","8303","108655","9629",
"0500000US06083","Santa Barbara County, California","443837","*****","219981","7301","9039","1137","9107","3212","23419","1826","463","307","67623","6474","114205","8183",
"0500000US06085","Santa Clara County, California","1870945","*****","554544","5423","42665","2978","17128","3618","757436","4325","7186","2003","223787","10431","268199","12031",
"0500000US06087","Santa Cruz County, California","264370","*****","153407","2855","2070","520","3962","2069","13636","1266","506","133","48128","5780","42661","5502",
"0500000US06089","Shasta County, California","180930","*****","142425","1760","534","232","1839","683","3985","939","1158","918","3370","1316","27619","2400",
"0500000US06093","Siskiyou County, California","43660","*****","33167","720","429","239","976","447","719","340","641","592","1533","829","6195","1053",
"0500000US06095","Solano County, California","448747","*****","176374","5633","58896","3004","3555","1547","71191","3215","5234","1361","67857","6758","65640","6557",
"0500000US06097","Sonoma County, California","482650","*****","296506","3768","7944","1411","5971","2414","21683","1534","1104","593","71784","6702","77658","6511",
"0500000US06099","Stanislaus County, California","551275","*****","228788","5842","13419","2378","8183","2358","34018","3535","4543","1097","85953","8283","176371","10843",
"0500000US06101","Sutter County, California","98503","*****","44003","2362","3011","1372","2244","1447","17445","1675","465","724","17859","3302","13476","4065",
"0500000US06103","Tehama County, California","65245","*****","43426","2576","99","12","2236","1641","300","254","0","218","4548","1846","14636","3194",
"0500000US06107","Tulare County, California","477544","*****","175037","7999","7780","1621","7290","2705","15882","2059","90","106","166673","10649","104792","10641",
"0500000US06109","Tuolumne County, California","54531","*****","42676","826","841","427","1166","694","914","217","1847","1393","2254","698","4833","1493",
"0500000US06111","Ventura County, California","832605","*****","430062","10300","15079","1745","14569","5969","60320","2743","2060","1280","102313","9549","208202","13340",
"0500000US06113","Yolo County, California","222115","*****","105975","4642","6382","1158","1566","715","36283","1827","498","505","32195","5939","39216","5506",
"0500000US06115","Yuba County, California","84310","*****","45469","1858","3370","487","1441","1139","7647","867","196","341","9417","2824","16770","3068",
