"GEO_ID","NAME","K200201_001E","K200201_001M","K200201_002E","K200201_002M","K200201_003E","K200201_003M","K200201_004E","K200201_004M","K200201_005E","K200201_005M","K200201_006E","K200201_006M","K200201_007E","K200201_007M","K200201_008E","K200201_008M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races",
"0400000US06","California","39536653","*****","23181769","68345","2271917","19745","313859","12442","5765305","20570","153923","5688","5911803","64869","1938077","38582",
"0500000US06001","Alameda County, California","1663190","*****","661879","9261","174829","4097","10993","2019","502289","5983","13090","1046","189729","9826","110381","7895",
"0500000US06005","Amador County, California","38626","*****","34484","437","1072","334","214","168","217","178","0","210","390","239","2249","536",
"0500000US06007","Butte County, California","229294","*****","185941","2533","4188","527","3346","911","11961","1303","228","183","11244","2569","12386","1871",
"0500000US06009","Calaveras County, California","45670","*****","41092","1008","236","370","520","614","978","250","201","336","749","690","1894","718",
"0500000US06011","Colusa County, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US06013","Contra Costa County, California","1147439","*****","655634","9784","94211","4516","5355","1536","195332","4546","5979","1137","105520","9971","85408","8250",
"0500000US06015","Del Norte County, California","27470","*****","19453","1529","456","260","2276","962","1745","882","0","210","1951","1145","1589","905",
"0500000US06017","El Dorado County, California","188987","*****","166729","1818","1645","402","1448","555","8316","1168","0","210","3211","1605","7638","1527",
"0500000US06019","Fresno County, California","989255","*****","648874","11405","46347","2118","9657","2060","102464","2586","1622","395","138241","10679","42050","4849",
