"GEO_ID","NAME","K200201_001E","K200201_001M","K200201_002E","K200201_002M","K200201_003E","K200201_003M","K200201_004E","K200201_004M","K200201_005E","K200201_005M","K200201_006E","K200201_006M","K200201_007E","K200201_007M","K200201_008E","K200201_008M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races",
"0400000US06","California","39144818","*****","23824254","64923","2277229","14769","282777","13225","5548936","20371","157554","6508","5300297","63956","1753771","30465",
"0500000US06001","Alameda County, California","1638215","*****","701135","10438","180957","3878","10588","2590","474507","4699","14524","814","157558","10760","98946","6078",
"0500000US06005","Amador County, California","37001","*****","32434","852","738","257","473","314","632","94","45","57","1659","847","1020","359",
"0500000US06007","Butte County, California","225411","*****","186531","2787","2581","858","3154","1077","10559","1303","331","325","9240","2611","13015","1945",
"0500000US06009","Calaveras County, California","44828","*****","41506","298","674","699","365","340","411","272","0","201","213","237","1659","722",
"0500000US06011","Colusa County, California","21482","*****","18845","1108","254","304","175","157","290","372","18","34","935","729","965","558",
"0500000US06013","Contra Costa County, California","1126745","*****","639657","9203","100354","2711","6112","2107","182666","4213","6127","411","124324","9767","67505","6571",
"0500000US06015","Del Norte County, California","27254","*****","21430","1678","579","257","1395","715","555","534","0","201","1128","1023","2167","1192",
"0500000US06017","El Dorado County, California","184452","*****","162276","1781","1472","362","1608","1171","7301","1225","199","274","3801","1690","7795","1865",
"0500000US06019","Fresno County, California","974861","*****","630159","11312","46705","1918","9346","2150","99606","2366","1950","1048","153441","11405","33654","4421",
"0500000US06021","Glenn County, California","28017","*****","23736","1310","87","112","421","194","643","429","0","201","2411","1310","719","460",
"0500000US06023","Humboldt County, California","135727","*****","108203","2316","1712","250","6951","1110","4475","596","97","156","7056","2292","7233","1623",
"0500000US06025","Imperial County, California","180191","*****","126599","5157","5113","1289","2557","831","3377","920","104","169","36062","5329","6379","1902",
"0500000US06029","Kern County, California","882176","*****","684691","10973","50286","2271","7248","2177","40891","2536","2185","907","69878","10536","26997","4080",
"0500000US06031","Kings County, California","150965","*****","99811","3725","9167","1139","2316","622","7163","1150","754","1024","26474","3789","5280","1776",
"0500000US06033","Lake County, California","64591","*****","50558","1644","1005","463","2395","656","483","346","230","338","7631","1689","2289","966",
"0500000US06035","Lassen County, California","31345","*****","25879","371","2625","548","1021","418","407","116","352","369","408","337","653","377",
"0500000US06037","Los Angeles County, California","10170292","*****","5285352","34882","836460","6360","71427","6684","1471602","7403","29126","1671","2110314","36737","366011","13931",
"0500000US06039","Madera County, California","154998","*****","126455","3791","4938","570","1446","553","2886","725","126","204","13191","3451","5956","1624",
"0500000US06041","Marin County, California","261221","*****","202246","3789","6976","986","961","604","15065","1355","1062","1141","22875","3756","12036","2359",
"0500000US06045","Mendocino County, California","87649","*****","74078","1783","453","274","4243","1664","2373","188","159","164","1788","1196","4555","989",
"0500000US06047","Merced County, California","268455","*****","154331","5786","8873","1734","1519","782","19689","2074","660","954","70482","6378","12901","2868",
"0500000US06053","Monterey County, California","433898","*****","287032","7533","10672","1228","3036","1157","24390","1708","2048","367","86646","6982","20074","2731",
"0500000US06055","Napa County, California","142456","*****","97452","3357","2941","402","1115","1297","12061","572","294","268","24842","3452","3751","1062",
"0500000US06057","Nevada County, California","98877","*****","90475","1755","660","181","2498","1971","1448","507","82","129","1473","948","2241","911",
"0500000US06059","Orange County, California","3169776","*****","1982432","21509","53969","2941","14049","2658","622001","5496","10388","1411","372652","21286","114285","7375",
"0500000US06061","Placer County, California","375391","*****","307761","3322","7119","671","1442","624","26067","1673","800","456","12874","3076","19328","2621",
"0500000US06065","Riverside County, California","2361026","*****","1485957","19409","148768","4279","18900","3355","149939","4241","6616","1046","450803","18793","100043","8225",
"0500000US06067","Sacramento County, California","1501335","*****","897925","9776","147797","3991","8889","2001","233519","4048","16679","952","94383","8974","102143","7530",
"0500000US06069","San Benito County, California","58792","*****","48511","1997","282","205","414","376","2233","377","36","61","4242","1584","3074","1218",
"0500000US06071","San Bernardino County, California","2128133","*****","1303554","15022","177777","6675","15455","2353","149602","3116","6867","1018","378432","14996","96446","7843",
"0500000US06073","San Diego County, California","3299521","*****","2335380","16276","168575","3358","17356","3103","387324","6816","14434","2046","218792","13409","157660","8862",
"0500000US06075","San Francisco County, California","864816","*****","409361","5245","44843","2053","2945","1437","301034","3131","3769","800","64455","5833","38409","4134",
"0500000US06077","San Joaquin County, California","726106","*****","418597","8672","48452","2449","3606","1105","110506","3171","2624","1461","67173","7750","75148","8641",
"0500000US06079","San Luis Obispo County, California","281401","*****","237929","4681","5614","769","2132","668","10000","1246","569","616","16106","4541","9051","2096",
"0500000US06081","San Mateo County, California","765135","*****","389719","6794","18283","1249","2314","955","213204","3415","10614","955","93486","7874","37515","3280",
"0500000US06083","Santa Barbara County, California","444769","*****","350900","5467","9359","993","3294","1367","25156","1385","564","402","38693","5672","16803","2731",
"0500000US06085","Santa Clara County, California","1918044","*****","869075","13139","47419","2280","8435","1859","667182","5479","9210","2797","226309","13950","90414","7744",
"0500000US06087","Santa Cruz County, California","274146","*****","210341","5323","2288","676","1985","1736","12048","1245","268","286","34287","5137","12929","1978",
"0500000US06089","Shasta County, California","179533","*****","155875","1548","2539","532","4791","1036","6066","815","34","59","2571","1215","7657","1989",
"0500000US06093","Siskiyou County, California","43554","*****","37206","704","880","34","1200","358","833","122","132","150","595","368","2708","810",
"0500000US06095","Solano County, California","436092","*****","233286","5356","61550","2418","2367","989","67196","2571","3673","600","37689","5361","30331","3759",
"0500000US06097","Sonoma County, California","502146","*****","384475","7568","7678","819","4403","1625","19128","1864","1061","596","52827","7262","32574","4199",
"0500000US06099","Stanislaus County, California","538388","*****","407401","7561","14771","1335","3860","1176","30326","1801","4218","688","55594","6685","22218","3814",
"0500000US06101","Sutter County, California","96463","*****","67966","1988","1053","590","939","561","15125","1173","362","162","4039","1673","6979","1810",
"0500000US06103","Tehama County, California","63308","*****","54058","1848","401","405","2423","1201","691","335","0","201","2832","1247","2903","974",
"0500000US06107","Tulare County, California","459863","*****","360593","7400","6744","765","5240","1849","16117","1855","828","315","56988","7268","13353","2657",
"0500000US06109","Tuolumne County, California","53709","*****","47943","1044","1016","253","454","406","862","200","228","257","718","607","2488","1000",
"0500000US06111","Ventura County, California","850536","*****","686076","7703","14338","1843","8213","2949","62400","2262","2044","242","43320","6206","34145","4572",
"0500000US06113","Yolo County, California","213016","*****","140351","4339","5669","911","809","589","29518","1392","606","496","24790","4483","11273","2064",
"0500000US06115","Yuba County, California","74492","*****","52039","2177","2375","758","504","347","5994","651","164","206","7168","2521","6248","1716",
