"GEO_ID","NAME","K200201_001E","K200201_001M","K200201_002E","K200201_002M","K200201_003E","K200201_003M","K200201_004E","K200201_004M","K200201_005E","K200201_005M","K200201_006E","K200201_006M","K200201_007E","K200201_007M","K200201_008E","K200201_008M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races",
"0400000US06","California","38802500","*****","23814044","55051","2259681","15273","286631","13165","5398090","18287","150072","5167","5114193","54578","1779789","27724",
"0500000US06001","Alameda County, California","1610921","*****","713395","9785","184981","2937","10794","2071","451957","5092","13287","1061","139619","9711","96888","7599",
"0500000US06005","Amador County, California","36742","*****","32006","743","702","201","867","442","336","332","82","123","1363","624","1386","644",
"0500000US06007","Butte County, California","224241","*****","183737","3126","3568","631","4523","2896","9265","1240","305","216","8709","2103","14134","2250",
"0500000US06009","Calaveras County, California","44624","*****","41488","319","31","45","534","392","432","368","569","630","210","269","1360","668",
"0500000US06011","Colusa County, California","21419","*****","18632","1154","775","850","399","226","195","179","38","58","891","473","489","499",
"0500000US06013","Contra Costa County, California","1111339","*****","659797","9899","94162","3572","5167","1601","172954","4206","5901","1223","99499","8831","73859","6948",
"0500000US06015","Del Norte County, California","27212","*****","22210","1245","303","189","1548","685","829","563","12","22","541","626","1769","797",
"0500000US06017","El Dorado County, California","183087","*****","160533","2290","1466","679","1542","738","7846","894","283","396","4919","1977","6498","1218",
"0500000US06019","Fresno County, California","965974","*****","584595","11959","49881","2609","8453","2054","96158","2496","2461","953","188131","12131","36295","4915",
"0500000US06021","Glenn County, California","27955","*****","25053","1240","327","298","257","141","15","22","263","470","1558","956","482","379",
"0500000US06023","Humboldt County, California","134809","*****","107854","1848","2150","743","7376","1770","3351","682","67","115","5565","1910","8446","1355",
"0500000US06025","Imperial County, California","179091","*****","120726","6649","3993","1181","3238","1701","2744","365","244","282","39264","5980","8882","2827",
"0500000US06029","Kern County, California","874589","*****","664002","9492","46940","3009","10342","3361","40765","2224","925","409","77317","8496","34298","4948",
"0500000US06031","Kings County, California","150269","*****","93965","4692","9578","1076","2676","714","5293","540","382","308","31201","4088","7174","2089",
"0500000US06033","Lake County, California","64184","*****","50076","1369","1483","315","2774","594","590","497","0","200","7572","1509","1689","855",
"0500000US06035","Lassen County, California","31749","*****","25725","422","3387","683","789","357","596","298","38","43","792","432","422","238",
"0500000US06037","Los Angeles County, California","10116705","*****","5313124","35205","830371","6634","63594","7150","1449469","6419","28601","1740","2031385","34181","400161","14240",
"0500000US06039","Madera County, California","154548","*****","123679","4643","5401","795","1384","797","3908","612","202","214","13358","3753","6616","2493",
"0500000US06041","Marin County, California","260750","*****","207308","4209","5536","1052","434","436","15868","962","292","194","20189","4529","11123","2234",
"0500000US06045","Mendocino County, California","87869","*****","73918","2142","623","335","4098","631","1666","369","137","229","4421","2184","3006","920",
"0500000US06047","Merced County, California","266353","*****","161624","7104","9044","521","914","453","19573","1516","310","222","64124","7171","10764","2254",
"0500000US06053","Monterey County, California","431344","*****","333058","8224","11311","1111","3950","1307","25836","1534","1886","422","38838","8159","16465","2394",
"0500000US06055","Napa County, California","141667","*****","102370","3180","3310","362","681","523","11739","696","47","81","18181","3071","5339","1675",
"0500000US06057","Nevada County, California","98893","*****","91442","1354","191","157","802","341","1380","324","240","322","1347","962","3491","649",
"0500000US06059","Orange County, California","3145515","*****","1982736","19654","51390","3215","14080","2285","599768","8769","8933","1347","362455","20666","126153","10912",
"0500000US06061","Placer County, California","371694","*****","312926","3109","5902","772","2342","979","26796","1488","1455","502","9241","2749","13032","1880",
"0500000US06065","Riverside County, California","2329271","*****","1475692","19867","145374","4469","21276","4420","147907","3885","5570","1256","434413","20630","99039","7608",
"0500000US06067","Sacramento County, California","1482026","*****","871895","8170","150307","3636","10329","3187","228084","5154","16250","1198","112118","8865","93043","6881",
"0500000US06069","San Benito County, California","58267","*****","48667","2051","179","204","201","179","1823","537","408","345","5135","1927","1854","981",
"0500000US06071","San Bernardino County, California","2112619","*****","1284478","14280","175566","5411","19770","4168","143777","3444","6956","917","396676","13278","85396","6434",
"0500000US06073","San Diego County, California","3263431","*****","2314039","15744","161603","6101","15950","2085","378006","6164","14253","2218","212047","14095","167533","11424",
"0500000US06075","San Francisco County, California","852469","*****","403610","5813","45986","1930","2382","638","289650","3176","3665","394","65067","6784","42109","3957",
"0500000US06077","San Joaquin County, California","715597","*****","394950","10164","52150","2053","4827","1224","109924","2535","4233","258","90729","9632","58784","6049",
"0500000US06079","San Luis Obispo County, California","279083","*****","243548","2460","5578","811","1188","415","11385","1019","0","200","9046","2090","8338","1679",
"0500000US06081","San Mateo County, California","758581","*****","399957","7652","19872","1633","2463","996","206532","3058","9814","1415","83108","7593","36835","4521",
"0500000US06083","Santa Barbara County, California","440668","*****","339492","5932","8498","1505","3018","1128","21108","1596","1125","645","44387","5517","23040","3593",
"0500000US06085","Santa Clara County, California","1894605","*****","907866","14222","48169","1946","7894","1773","651614","4148","7155","1777","185314","14033","86593","5386",
"0500000US06087","Santa Cruz County, California","271804","*****","218568","4611","2398","638","724","394","12339","1291","194","195","25971","4431","11610","1971",
"0500000US06089","Shasta County, California","179804","*****","156618","1513","2167","616","3047","1126","3983","1074","147","166","3281","1438","10561","1981",
"0500000US06093","Siskiyou County, California","43628","*****","37296","533","510","180","1395","418","491","271","0","200","901","435","3035","736",
"0500000US06095","Solano County, California","431131","*****","234128","5169","60256","2568","2283","838","67746","1841","3265","1217","36229","5091","27224","4247",
"0500000US06097","Sonoma County, California","500292","*****","376299","7101","7339","1360","6750","3101","19734","1592","2210","690","61028","7489","26932","3751",
"0500000US06099","Stanislaus County, California","531997","*****","405964","7769","12774","1467","4114","1078","29521","2487","3588","706","53423","7594","22613","3423",
"0500000US06101","Sutter County, California","95847","*****","68279","2019","2585","509","837","240","13805","1574","635","797","4195","1811","5511","1741",
"0500000US06103","Tehama County, California","63067","*****","53133","2484","39","52","1864","1421","1071","80","11","27","4186","2036","2763","750",
"0500000US06107","Tulare County, California","458198","*****","377865","6190","7757","1107","5512","1617","15247","1582","131","169","36575","5203","15111","3697",
"0500000US06109","Tuolumne County, California","53831","*****","47054","613","896","254","1133","435","742","138","42","76","1479","608","2485","843",
"0500000US06111","Ventura County, California","846178","*****","681601","6478","13518","1704","7959","2637","60326","2331","1684","608","44215","5263","36875","4728",
"0500000US06113","Yolo County, California","207590","*****","131402","3491","6678","1025","1654","796","28058","1183","1001","251","27476","3882","11321","1648",
"0500000US06115","Yuba County, California","73966","*****","52989","2327","1794","525","1568","1037","4285","963","273","254","5327","1892","7730","1846",
